mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,label
-231.04123,79.462845,4.713346,17.207012,4.8735666,9.077062,2.1961808,1.4295765,-2.4259202,0.85342574,-2.1514559,-0.27655753,-3.1886458,90.74048,32.587433,17.186815,9.639129,7.0663147,5.503015,5.844612,4.987088,4.634465,4.628022,4.6951165,4.538971,4.6623864,hail
-263.2364,112.163315,6.505714,29.392244,3.7505517,10.459762,15.407415,3.8701053,8.671493,5.4631324,1.1051105,6.7649136,1.3129928,76.12919,44.57525,16.485603,14.533644,9.406443,5.6159267,4.829057,5.147887,4.3439913,4.2175393,4.1294575,4.021714,4.189911,hail
-363.75183,49.961002,-6.392994,10.7058935,2.4942183,9.058151,0.8219724,7.36051,1.1461662,6.056901,0.11252374,5.2484865,-1.2363409,66.09909,14.516282,8.697592,6.765241,5.202631,6.057713,4.4232407,3.9616857,3.6106231,3.7491245,3.5605018,3.7749844,3.6469734,hail
-488.09705,102.75964,28.096237,18.202053,8.781518,13.198749,-7.073654,17.123728,1.7496425,16.13468,2.799967,11.168389,3.0592368,63.01547,17.749065,14.725435,9.383029,7.1486845,5.4782257,6.0916643,4.5925894,4.6351123,3.7445583,4.349564,3.5585058,3.8721862,hail
-328.24927,114.637764,2.6568506,0.545672,-6.303279,2.3587646,-7.9152627,7.610418,-5.503332,10.909398,-3.9190502,10.424092,1.6198738,73.28713,22.167864,9.815188,11.530802,5.3502054,6.6265574,5.677537,3.9970818,4.7108674,3.9106815,3.9888353,3.4875503,3.4180224,hail
-437.40955,111.68599,6.095147,20.508955,11.033054,-0.90286875,-11.238703,-2.7184465,-3.5722828,0.9201252,-6.9185486,-2.0070665,-3.3548403,105.756355,39.689796,24.530424,17.899988,11.078497,11.788335,11.333276,9.690019,9.802954,7.912334,8.103173,7.4735775,6.2968063,hail
-126.37793,63.487267,-2.7779803,2.023121,-0.87182677,11.321598,2.5429983,8.635624,-1.9489789,6.4539394,-4.1426187,2.2994823,-3.0183716,38.096283,14.016466,10.449883,7.4724836,5.5550523,4.8630395,5.399943,4.494632,4.1203074,3.904159,3.6263494,3.5815053,3.606667,hail
-446.71313,159.50925,17.927708,18.449516,12.652344,3.047737,5.416333,9.90309,1.1211113,2.7534578,2.851436,2.9051247,2.4260287,74.37106,53.700806,22.05336,19.344946,10.097495,7.9104786,7.019115,8.862729,5.874274,5.2691627,6.716224,4.7836227,4.4175835,hail
-34.22948,46.73681,-16.53157,4.3591876,-14.736784,-1.170598,-9.130977,0.33560866,-8.883297,1.9136887,-5.947052,1.7495348,-2.22622,6.3256555,3.995846,3.5742989,2.8441508,3.6014285,2.827444,3.0122867,2.626142,2.764197,3.4802027,3.0092354,2.9492238,2.8568468,hail
-371.15283,136.51964,18.149977,14.2794075,12.886213,5.4081225,4.1505084,4.1641507,0.6709885,2.0366075,1.6099933,0.9640751,2.386208,96.5618,61.48282,32.50059,16.203684,8.351321,7.695449,7.4282126,6.658919,5.049867,4.6522474,4.8444314,3.874675,4.566839,hail
-374.75162,124.76277,26.381617,15.513093,11.760323,6.1996217,4.816485,4.756111,1.1680022,0.48290938,0.16865098,1.7076869,1.0989639,116.84946,56.466766,33.7495,15.600936,10.018508,6.749821,6.287918,6.068733,5.7506557,4.402565,4.959449,5.184874,4.5747075,hail
